,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
0,Male,19,15,39,1,1
1,Male,21,15,81,1,4
2,Female,20,16,6,1,1
3,Female,23,16,77,1,4
4,Female,31,17,40,1,1
5,Female,22,17,76,1,4
6,Female,35,18,6,1,1
7,Female,23,18,94,1,4
8,Male,64,19,3,1,1
9,Female,30,19,72,1,4
10,Male,67,19,14,1,1
11,Female,35,19,99,1,4
12,Female,58,20,15,1,1
13,Female,24,20,77,1,4
14,Male,37,20,13,1,1
15,Male,22,20,79,1,4
16,Female,35,21,35,1,1
17,Male,20,21,66,1,4
18,Male,52,23,29,1,1
19,Female,35,23,98,1,4
20,Male,35,24,35,1,1
21,Male,25,24,73,1,4
22,Female,46,25,5,1,1
23,Male,31,25,73,1,4
24,Female,54,28,14,1,1
25,Male,29,28,82,1,4
26,Female,45,28,32,1,1
27,Male,35,28,61,1,4
28,Female,40,29,31,1,1
29,Female,23,29,87,1,4
30,Male,60,30,4,1,1
31,Female,21,30,73,1,4
32,Male,53,33,4,1,1
33,Male,18,33,92,1,4
34,Female,49,33,14,1,1
35,Female,21,33,81,1,4
36,Female,42,34,17,1,1
37,Female,30,34,73,1,4
38,Female,36,37,26,1,1
39,Female,20,37,75,1,4
40,Female,65,38,35,1,1
41,Male,24,38,92,1,4
42,Male,48,39,36,1,1
43,Female,31,39,61,1,0
44,Female,49,39,28,1,1
45,Female,24,39,65,1,4
46,Female,50,40,55,1,0
47,Female,27,40,47,1,0
48,Female,29,40,42,1,0
49,Female,31,40,42,1,0
50,Female,49,42,52,1,0
51,Male,33,42,60,1,0
52,Female,31,43,54,1,0
53,Male,59,43,60,1,0
54,Female,50,43,45,1,0
55,Male,47,43,41,1,0
56,Female,51,44,50,1,0
57,Male,69,44,46,1,0
58,Female,27,46,51,1,0
59,Male,53,46,46,1,0
60,Male,70,46,56,1,0
61,Male,19,46,55,1,0
62,Female,67,47,52,1,0
63,Female,54,47,59,1,0
64,Male,63,48,51,1,0
65,Male,18,48,59,1,0
66,Female,43,48,50,1,0
67,Female,68,48,48,1,0
68,Male,19,48,59,1,0
69,Female,32,48,47,1,0
70,Male,70,49,55,1,0
71,Female,47,49,42,1,0
72,Female,60,50,49,1,0
73,Female,60,50,56,1,0
74,Male,59,54,47,2,0
75,Male,26,54,54,2,0
76,Female,45,54,53,2,0
77,Male,40,54,48,2,0
78,Female,23,54,52,2,0
79,Female,49,54,42,2,0
80,Male,57,54,51,2,0
81,Male,38,54,55,2,0
82,Male,67,54,41,2,0
83,Female,46,54,44,2,0
84,Female,21,54,57,2,0
85,Male,48,54,46,2,0
86,Female,55,57,58,2,0
87,Female,22,57,55,2,0
88,Female,34,58,60,2,0
89,Female,50,58,46,2,0
90,Female,68,59,55,2,0
91,Male,18,59,41,2,0
92,Male,48,60,49,2,0
93,Female,40,60,40,2,0
94,Female,32,60,42,2,0
95,Male,24,60,52,2,0
96,Female,47,60,47,2,0
97,Female,27,60,50,2,0
98,Male,48,61,42,2,0
99,Male,20,61,49,2,0
100,Female,23,62,41,2,0
101,Female,49,62,48,2,0
102,Male,67,62,59,2,0
103,Male,26,62,55,2,0
104,Male,49,62,56,2,0
105,Female,21,62,42,2,0
106,Female,66,63,50,2,0
107,Male,54,63,46,2,0
108,Male,68,63,43,2,0
109,Male,66,63,48,2,0
110,Male,65,63,52,2,0
111,Female,19,63,54,2,0
112,Female,38,64,42,2,0
113,Male,19,64,46,2,0
114,Female,18,65,48,2,0
115,Female,19,65,50,2,0
116,Female,63,65,43,2,0
117,Female,49,65,59,2,0
118,Female,51,67,43,2,0
119,Female,50,67,57,2,0
120,Male,27,67,56,2,0
121,Female,38,67,40,2,0
122,Female,40,69,58,2,0
123,Male,39,69,91,2,2
124,Female,23,70,29,2,3
125,Female,31,70,77,2,2
126,Male,43,71,35,2,0
127,Male,40,71,95,2,2
128,Male,59,71,11,2,3
129,Male,38,71,75,2,2
130,Male,47,71,9,2,3
131,Male,39,71,75,2,2
132,Female,25,72,34,2,0
133,Female,31,72,71,2,2
134,Male,20,73,5,2,3
135,Female,29,73,88,2,2
136,Female,44,73,7,2,3
137,Male,32,73,73,2,2
138,Male,19,74,10,2,3
139,Female,35,74,72,2,2
140,Female,57,75,5,2,3
141,Male,32,75,93,2,2
142,Female,28,76,40,2,0
143,Female,32,76,87,2,2
144,Male,25,77,12,2,3
145,Male,28,77,97,2,2
146,Male,48,77,36,2,3
147,Female,32,77,74,2,2
148,Female,34,78,22,2,3
149,Male,34,78,90,2,2
150,Male,43,78,17,2,3
151,Male,39,78,88,2,2
152,Female,44,78,20,2,3
153,Female,38,78,76,2,2
154,Female,47,78,16,2,3
155,Female,27,78,89,2,2
156,Male,37,78,1,2,3
157,Female,30,78,78,2,2
158,Male,34,78,1,2,3
159,Female,30,78,73,2,2
160,Female,56,79,35,2,3
161,Female,29,79,83,2,2
162,Male,19,81,5,2,3
163,Female,31,81,93,2,2
164,Male,50,85,26,0,3
165,Female,36,85,75,0,2
166,Male,42,86,20,0,3
167,Female,33,86,95,0,2
168,Female,36,87,27,0,3
169,Male,32,87,63,0,2
170,Male,40,87,13,0,3
171,Male,28,87,75,0,2
172,Male,36,87,10,0,3
173,Male,36,87,92,0,2
174,Female,52,88,13,0,3
175,Female,30,88,86,0,2
176,Male,58,88,15,0,3
177,Male,27,88,69,0,2
178,Male,59,93,14,0,3
179,Male,35,93,90,0,2
180,Female,37,97,32,0,3
181,Female,32,97,86,0,2
182,Male,46,98,15,0,3
